epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,0.696178,1.91228,3.22885,3.26763,0.14773,0.02062,1,0.05189,0.01382,1.82602,3.28727,3.60547,0.02011,0,0,0
2,1.49569,1.50733,3.31172,2.76473,0.30598,0.02041,1,0.06553,0.01591,1.79444,3.2814,3.60637,0.01917,1.901e-05,1.901e-05,1.901e-05
3,2.26863,1.82461,3.0718,2.83625,0.22791,0.02105,1,0.08195,0.0245,1.74294,3.22735,3.60952,0.0169,3.604e-05,3.604e-05,3.604e-05
4,3.21094,1.48055,2.88654,3.02696,0.17506,0.02041,1,0.13551,0.03934,1.68888,3.10338,3.60329,0.01437,5.109e-05,5.109e-05,5.109e-05
5,3.99053,1.9344,2.86931,3.04308,0.13959,0.02151,1,0.26179,0.03261,1.6019,2.88878,3.58469,0.01188,6.416e-05,6.416e-05,6.416e-05
6,4.78818,2.0737,3.04992,2.8723,0.22475,0.0284,0.5,0.51286,0.10917,1.54138,2.59421,3.58265,0.01016,7.525e-05,7.525e-05,7.525e-05
7,5.58629,1.23595,2.49011,3.49111,0.18857,0.22848,0.5,0.53667,0.13741,1.46125,2.34475,3.53435,0.00773,8.436e-05,8.436e-05,8.436e-05
8,6.40963,1.93313,2.67761,2.9206,0.18944,0.53503,0.5,0.695,0.18998,1.4249,2.09729,3.46097,0.03773,9.149e-05,9.149e-05,9.149e-05
9,7.19919,1.48989,2.28689,2.46499,0.11026,0.70815,0.5,0.745,0.27442,1.37241,1.87967,3.37267,0.04865,9.664e-05,9.664e-05,9.664e-05
10,8.05562,1.31283,2.43126,2.45903,0.1319,0.81434,0.5,0.82833,0.29918,1.34124,1.72784,3.31483,0.07277,9.981e-05,9.981e-05,9.981e-05
11,8.9043,1.29092,1.99769,2.6578,0.06754,1,0.89897,0.995,0.64703,1.2786,1.56388,3.25825,0.08595,0.000101,0.000101,0.000101
12,9.74708,1.27231,1.82293,2.90306,0.12701,1,0.93845,0.995,0.6965,1.25354,1.43801,3.13606,0.07287,0.00010021,0.00010021,0.00010021
13,10.5241,1.08526,1.45294,3.19347,0.08961,1,0.95678,0.995,0.72198,1.27111,1.38109,2.99742,0.06141,9.744e-05,9.744e-05,9.744e-05
14,11.3113,1.14453,1.67855,1.9399,0.07093,1,0.95691,0.995,0.722,1.22513,1.36662,2.87754,0.04161,9.269e-05,9.269e-05,9.269e-05
15,12.0995,1.26185,1.44848,2.51066,0.03283,1,0.96823,0.995,0.72207,1.2236,1.39431,2.83967,0.02466,8.596e-05,8.596e-05,8.596e-05
16,12.905,1.16586,1.32539,2.79421,0.09079,1,0.96952,0.995,0.796,1.22916,1.44562,2.78617,0.02627,7.725e-05,7.725e-05,7.725e-05
17,13.6955,1.30564,1.49364,2.21827,0.04775,1,0.9687,0.995,0.796,1.21598,1.47247,2.76254,0.03119,6.656e-05,6.656e-05,6.656e-05
18,14.4628,0.99844,1.34709,2.43468,0.06884,1,0.9687,0.995,0.796,1.21598,1.47247,2.76254,0.03119,5.389e-05,5.389e-05,5.389e-05
19,15.2671,1.04676,1.61777,1.76369,0.19478,1,0.95992,0.995,0.66336,1.19365,1.4618,2.75312,0.05023,3.924e-05,3.924e-05,3.924e-05
20,16.0098,1.39353,1.74549,2.45091,0.24435,1,0.95992,0.995,0.66336,1.19365,1.4618,2.75312,0.05023,2.261e-05,2.261e-05,2.261e-05
