epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,360.157,1.16491,1.28758,1.92821,0.02864,0.99765,0.99657,0.99499,0.76683,0.89429,0.56358,1.6579,0.00207,0.000660819,0.000660819,0.000660819
2,687.027,0.93417,0.58899,1.5224,0.00855,0.98546,0.98971,0.99453,0.76895,0.87318,0.48456,1.56657,0.00223,0.0013012,0.0013012,0.0013012
3,1011.45,0.91222,0.52688,1.51156,0.00798,0.999,0.99886,0.995,0.77017,0.84944,0.40379,1.59124,0.00242,0.00191518,0.00191518,0.00191518
4,1336.23,0.88681,0.51366,1.49153,0.00655,0.98977,0.99543,0.99485,0.81425,0.79396,0.37043,1.53295,0.00228,0.0018812,0.0018812,0.0018812
5,1659.68,0.86562,0.48548,1.46832,0.00708,1,0.99857,0.995,0.83022,0.7372,0.35789,1.43242,0.00326,0.0018416,0.0018416,0.0018416
6,1983.08,0.85128,0.47376,1.46563,0.00584,0.9999,0.99886,0.995,0.83778,0.74236,0.3237,1.4544,0.00216,0.001802,0.001802,0.001802
7,2309.78,0.83988,0.46166,1.43259,0.00575,0.99869,0.99886,0.99499,0.82921,0.79991,0.33106,1.5331,0.00146,0.0017624,0.0017624,0.0017624
8,2639.8,0.84275,0.4646,1.44838,0.00461,0.99657,0.99671,0.99494,0.83234,0.76262,0.32523,1.52177,0.00188,0.0017228,0.0017228,0.0017228
9,2966.64,0.83136,0.44997,1.42124,0.0058,0.99965,0.99886,0.995,0.81183,0.78166,0.3496,1.50364,0.00139,0.0016832,0.0016832,0.0016832
10,3288.4,0.80762,0.43207,1.41211,0.00384,0.99982,0.99886,0.995,0.85029,0.70784,0.3085,1.40541,0.00266,0.0016436,0.0016436,0.0016436
11,3610.08,0.8323,0.45443,1.44983,0.00512,0.99391,0.97371,0.99061,0.82122,0.79854,0.39314,1.53714,0.00258,0.001604,0.001604,0.001604
12,3930.03,0.79677,0.42937,1.41801,0.00445,0.99991,0.99886,0.995,0.85357,0.72085,0.31112,1.42957,0.00144,0.0015644,0.0015644,0.0015644
13,4251.24,0.79658,0.42376,1.39943,0.00345,0.99886,0.99865,0.995,0.84684,0.71662,0.32889,1.42767,0.00148,0.0015248,0.0015248,0.0015248
14,4571.88,0.79365,0.42009,1.40271,0.00388,0.99991,0.99886,0.995,0.85348,0.71059,0.30618,1.43392,0.00132,0.0014852,0.0014852,0.0014852
15,4892.12,0.80358,0.41904,1.40944,0.00427,0.9999,0.99886,0.995,0.86297,0.68494,0.29577,1.3855,0.00202,0.0014456,0.0014456,0.0014456
16,5216.07,0.77454,0.41769,1.38989,0.00429,0.99987,0.99886,0.995,0.85841,0.69446,0.2968,1.41538,0.00158,0.001406,0.001406,0.001406
17,5536.66,0.78354,0.41211,1.41241,0.00411,1,0.99867,0.995,0.85069,0.71127,0.29993,1.41685,0.00147,0.0013664,0.0013664,0.0013664
18,5858.65,0.751,0.39756,1.37596,0.0035,0.99987,0.99886,0.995,0.8613,0.69411,0.2818,1.40196,0.00168,0.0013268,0.0013268,0.0013268
19,6181.82,0.78056,0.40547,1.39107,0.00394,0.9998,0.99771,0.995,0.85764,0.70129,0.29138,1.39586,0.00195,0.0012872,0.0012872,0.0012872
20,6504.22,0.76515,0.39953,1.37081,0.00438,0.9999,0.99886,0.995,0.86731,0.6644,0.27943,1.35912,0.00107,0.0012476,0.0012476,0.0012476
21,6828.93,0.76895,0.39864,1.38,0.00402,0.99987,0.99886,0.995,0.85449,0.70113,0.27809,1.42847,0.00176,0.001208,0.001208,0.001208
22,7153.05,0.76377,0.39466,1.37228,0.00299,0.99972,0.99886,0.995,0.86568,0.67682,0.28181,1.37223,0.00128,0.0011684,0.0011684,0.0011684
23,7472.15,0.74709,0.38589,1.35944,0.00323,0.99991,0.99886,0.995,0.86978,0.66615,0.26921,1.37232,0.00117,0.0011288,0.0011288,0.0011288
24,7792.61,0.74605,0.38556,1.35988,0.0034,0.99932,0.99886,0.995,0.87713,0.65649,0.26462,1.349,0.00107,0.0010892,0.0010892,0.0010892
25,8114.12,0.75721,0.3857,1.35926,0.00317,0.99987,0.99886,0.995,0.87458,0.65207,0.27055,1.34778,0.00123,0.0010496,0.0010496,0.0010496
26,8431.52,0.75044,0.37509,1.35577,0.0032,0.99992,0.99886,0.995,0.87174,0.66959,0.28018,1.35872,0.00497,0.00101,0.00101,0.00101
27,8750.15,0.74352,0.38125,1.35471,0.00288,0.99993,0.99886,0.995,0.86549,0.67442,0.26103,1.38336,0.00106,0.0009704,0.0009704,0.0009704
28,9068.6,0.74455,0.37484,1.33851,0.0035,0.99981,0.99886,0.995,0.87847,0.65097,0.2504,1.34635,0.00131,0.0009308,0.0009308,0.0009308
29,9388.06,0.73553,0.37862,1.34507,0.00314,0.99991,0.99886,0.995,0.87605,0.66239,0.26845,1.36328,0.00104,0.0008912,0.0008912,0.0008912
30,9709.17,0.73539,0.38076,1.35284,0.00394,0.99992,0.99886,0.995,0.87088,0.66523,0.26141,1.35212,0.00121,0.0008516,0.0008516,0.0008516
31,10029.3,0.73297,0.37666,1.32483,0.00294,0.9999,0.99886,0.995,0.88213,0.6404,0.25711,1.33642,0.00112,0.000812,0.000812,0.000812
32,10350,0.74631,0.3836,1.36185,0.00249,0.99979,0.99886,0.995,0.87814,0.65061,0.26175,1.35177,0.00108,0.0007724,0.0007724,0.0007724
33,10669.9,0.7242,0.37093,1.33875,0.00292,0.99934,0.99886,0.995,0.87971,0.65061,0.25723,1.33976,0.00138,0.0007328,0.0007328,0.0007328
34,10991.6,0.73303,0.36933,1.34812,0.00285,0.99992,0.99886,0.995,0.88445,0.63272,0.25041,1.33467,0.00093,0.0006932,0.0006932,0.0006932
35,11311.3,0.7345,0.36969,1.34305,0.00321,0.99992,0.99886,0.995,0.87963,0.64939,0.24717,1.35358,0.00096,0.0006536,0.0006536,0.0006536
36,11634.2,0.70486,0.35923,1.31921,0.00233,0.99993,0.99886,0.995,0.88152,0.64787,0.25199,1.35242,0.00094,0.000614,0.000614,0.000614
37,11954.5,0.72033,0.36643,1.33156,0.00262,0.99992,0.99886,0.995,0.88099,0.64755,0.25011,1.33828,0.00107,0.0005744,0.0005744,0.0005744
38,12276.5,0.71052,0.35931,1.31476,0.00306,0.99992,0.99886,0.995,0.88608,0.63559,0.25117,1.32998,0.00172,0.0005348,0.0005348,0.0005348
39,12599.3,0.70835,0.35605,1.32319,0.00245,1,0.99886,0.995,0.88487,0.63675,0.25074,1.3411,0.00098,0.0004952,0.0004952,0.0004952
40,12920.8,0.71688,0.36016,1.32482,0.00204,1,0.99886,0.995,0.88478,0.63607,0.24733,1.34114,0.00082,0.0004556,0.0004556,0.0004556
41,13236.3,0.63384,0.25844,1.36358,0.00095,0.99992,0.99886,0.995,0.88557,0.63399,0.24902,1.32844,0.00095,0.000416,0.000416,0.000416
42,13550,0.62465,0.2535,1.35713,0.00092,0.99992,0.99886,0.995,0.88245,0.63936,0.24611,1.33917,0.00078,0.0003764,0.0003764,0.0003764
43,13862.5,0.61679,0.25394,1.34075,0.00102,0.99993,0.99886,0.995,0.88821,0.6245,0.24401,1.3177,0.00087,0.0003368,0.0003368,0.0003368
44,14176,0.62101,0.25015,1.34236,0.00103,0.99992,0.99886,0.995,0.88761,0.62593,0.23709,1.31754,0.00094,0.0002972,0.0002972,0.0002972
45,14488.8,0.61728,0.24556,1.33596,0.00077,0.99992,0.99886,0.995,0.88851,0.6213,0.24176,1.30966,0.00085,0.0002576,0.0002576,0.0002576
46,14801.4,0.61145,0.24353,1.33395,0.00079,0.99993,0.99886,0.995,0.88835,0.62263,0.23656,1.31889,0.00082,0.000218,0.000218,0.000218
47,15117.7,0.61129,0.24322,1.33762,0.00097,0.99993,0.99886,0.995,0.88921,0.62015,0.23329,1.31013,0.00082,0.0001784,0.0001784,0.0001784
48,15431.8,0.60685,0.24063,1.32635,0.00091,1,0.99886,0.995,0.88806,0.62099,0.23771,1.31025,0.00084,0.0001388,0.0001388,0.0001388
49,15746.7,0.60486,0.24078,1.33588,0.00096,1,0.99886,0.995,0.88876,0.61925,0.23397,1.31121,0.00086,9.92e-05,9.92e-05,9.92e-05
50,16059.5,0.60445,0.23911,1.32861,0.00085,0.99993,0.99886,0.995,0.89006,0.61844,0.23295,1.31164,0.00081,5.96e-05,5.96e-05,5.96e-05
